ons,win,last_win,change
W07000049,LAB,LAB,LAB HOLD
W07000058,CON,CON,CON HOLD
S14000001,SNP,SNP,SNP HOLD
S14000002,SNP,CON,SNP GAIN FROM CON
S14000058,CON,CON,CON HOLD
S14000003,SNP,SNP,SNP HOLD
E14000530,CON,CON,CON HOLD
E14000531,CON,CON,CON HOLD
E14000532,CON,CON,CON HOLD
W07000043,LAB,LAB,LAB HOLD
E14000533,CON,CON,CON HOLD
S14000004,SNP,CON,SNP GAIN FROM CON
W07000057,PC,PC,PC HOLD
S14000005,SNP,SNP,SNP HOLD
E14000534,CON,CON,CON HOLD
E14000535,CON,LAB,CON GAIN FROM LAB
E14000536,CON,CON,CON HOLD
E14000537,LAB,LAB,LAB HOLD
E14000538,CON,CON,CON HOLD
S14000006,SNP,CON,SNP GAIN FROM CON
S14000010,SNP,SNP,SNP HOLD
S14000048,SNP,SNP,SNP HOLD
E14000539,CON,CON,CON HOLD
S14000007,CON,CON,CON HOLD
E14000540,LAB,LAB,LAB HOLD
E14000541,LAB,LAB,LAB HOLD
E14000542,LAB,LAB,LAB HOLD
E14000543,CON,LAB,CON GAIN FROM LAB
E14000544,CON,CON,CON HOLD
E14000933,CON,CON,CON HOLD
E14000545,CON,CON,CON HOLD
E14000546,CON,LAB,CON GAIN FROM LAB
E14000547,LD,LD,LD HOLD
E14000548,LAB,LAB,LAB HOLD
E14000549,LAB,LAB,LAB HOLD
E14000550,CON,CON,CON HOLD
E14000551,CON,CON,CON HOLD
E14000552,LAB,LAB,LAB HOLD
E14000813,CON,CON,CON HOLD
E14000841,CON,CON,CON HOLD
E14000949,CON,CON,CON HOLD
N06000001,DUP,DUP,DUP HOLD
N06000002,SF,DUP,SF GAIN FROM DUP
N06000003,SDLP,DUP,SDLP GAIN FROM DUP
N06000004,SF,SF,SF HOLD
E14000553,LAB,LAB,LAB HOLD
E14000554,CON,CON,CON HOLD
S14000008,CON,CON,CON HOLD
E14000555,LAB,LAB,LAB HOLD
E14000556,CON,CON,CON HOLD
E14000557,CON,CON,CON HOLD
E14000558,CON,CON,CON HOLD
E14000559,LAB,LAB,LAB HOLD
E14000560,LAB,LAB,LAB HOLD
E14000561,LAB,LAB,LAB HOLD
E14000562,LAB,LAB,LAB HOLD
E14000563,LAB,LAB,LAB HOLD
E14000564,LAB,LAB,LAB HOLD
E14000565,CON,LAB,CON GAIN FROM LAB
E14000566,LAB,LAB,LAB HOLD
E14000567,LAB,LAB,LAB HOLD
E14000568,LAB,LAB,LAB HOLD
E14000569,CON,LAB,CON GAIN FROM LAB
E14000570,LAB,LAB,LAB HOLD
E14000571,LAB,LAB,LAB HOLD
E14000572,CON,CON,CON HOLD
E14000573,CON,LAB,CON GAIN FROM LAB
W07000072,LAB,LAB,LAB HOLD
E14000574,LAB,LAB,LAB HOLD
E14000575,CON,LAB,CON GAIN FROM LAB
E14000576,CON,CON,CON HOLD
E14000577,CON,LAB,CON GAIN FROM LAB
E14000578,CON,LAB,CON GAIN FROM LAB
E14000579,LAB,LAB,LAB HOLD
E14000580,CON,CON,CON HOLD
E14000581,LAB,LAB,LAB HOLD
E14000582,CON,CON,CON HOLD
E14000583,CON,CON,CON HOLD
E14000584,CON,CON,CON HOLD
E14000585,CON,CON,CON HOLD
E14000586,CON,CON,CON HOLD
E14000587,LAB,LAB,LAB HOLD
E14000588,LAB,LAB,LAB HOLD
E14000589,LAB,LAB,LAB HOLD
E14000590,CON,CON,CON HOLD
W07000068,CON,CON,CON WIN
E14000591,LAB,LAB,LAB HOLD
E14000592,LAB,LAB,LAB HOLD
E14000593,LAB,LAB,LAB HOLD
E14000594,CON,CON,CON HOLD
W07000073,CON,LAB,CON GAIN FROM LAB
E14000595,CON,CON,CON HOLD
E14000596,CON,CON,CON HOLD
E14000597,LAB,LAB,LAB HOLD
E14000598,GRN,GRN,GRN HOLD
E14000599,LAB,LAB,LAB HOLD
E14000600,LAB,LAB,LAB HOLD
E14000601,LAB,LAB,LAB HOLD
E14000602,LAB,LAB,LAB HOLD
E14000603,CON,CON,CON HOLD
E14000604,CON,CON,CON HOLD
E14000605,CON,CON,CON HOLD
E14000606,CON,CON,CON HOLD
E14000607,CON,CON,CON HOLD
E14000608,CON,SPE,CON WIN
E14000609,CON,LAB,CON GAIN FROM LAB
E14000610,CON,CON,CON HOLD
E14000611,CON,LAB,CON GAIN FROM LAB
E14000612,CON,LAB,CON GAIN FROM LAB
E14000613,CON,CON,CON HOLD
W07000076,LAB,LAB,LAB HOLD
S14000009,LD,LD,LD HOLD
E14000614,CON,CON,CON HOLD
E14000615,LAB,LAB,LAB HOLD
E14000616,CON,CON,CON HOLD
E14000617,LAB,LAB,LAB HOLD
E14000842,CON,CON,CON HOLD
E14000855,CON,CON,CON HOLD
E14000934,CON,CON,CON HOLD
E14000937,CON,CON,CON HOLD
E14000618,CON,CON,CON HOLD
E14000619,LAB,LAB,LAB HOLD
W07000050,LAB,LAB,LAB HOLD
W07000051,LAB,LAB,LAB HOLD
W07000080,LAB,LAB,LAB HOLD
W07000079,LAB,LAB,LAB HOLD
E14000620,CON,CON,CON HOLD
W07000067,PC,PC,PC HOLD
W07000066,CON,CON,CON HOLD
E14000621,CON,LD,CON GAIN FROM LD
E14000622,CON,CON,CON HOLD
W07000064,PC,PC,PC HOLD
E14000625,CON,CON,CON HOLD
E14000626,CON,CON,CON HOLD
E14000627,CON,CON,CON HOLD
E14000628,CON,CON,CON HOLD
E14000629,CON,CON,CON HOLD
E14000630,CON,CON,CON HOLD
E14000631,CON,CON,CON HOLD
E14000640,LAB,LAB,LAB HOLD
E14000632,LAB,LAB,LAB HOLD
E14000633,CON,CON,CON HOLD
E14000634,CON,CON,CON HOLD
E14000635,CON,CON,CON HOLD
E14000636,CON,CON,CON HOLD
E14000637,SPE,LAB,SPE WIN
E14000638,CON,CON,CON HOLD
E14000639,CON,CON,CON HOLD
E14000642,CON,CON,CON HOLD
E14000643,CON,CON,CON HOLD
W07000062,CON,LAB,CON GAIN FROM LAB
W07000059,CON,CON,CON HOLD
S14000011,SNP,LAB,SNP GAIN FROM LAB
E14000644,CON,CON,CON HOLD
E14000645,CON,LAB,CON GAIN FROM LAB
E14000646,CON,CON,CON HOLD
E14000647,CON,CON,CON HOLD
E14000648,CON,CON,CON HOLD
E14000837,CON,CON,CON HOLD
E14000938,CON,CON,CON HOLD
E14000991,CON,CON,CON HOLD
E14000649,LAB,LAB,LAB HOLD
E14000650,LAB,LAB,LAB HOLD
E14000651,LAB,LAB,LAB HOLD
E14000652,CON,CON,CON HOLD
E14000653,CON,LAB,CON GAIN FROM LAB
E14000654,LAB,LAB,LAB HOLD
E14000655,LAB,LAB,LAB HOLD
E14000656,CON,CON,CON HOLD
S14000012,SNP,SNP,SNP HOLD
W07000070,LAB,LAB,LAB HOLD
E14000657,LAB,LAB,LAB HOLD
E14000658,CON,LAB,CON GAIN FROM LAB
E14000659,CON,CON,CON HOLD
E14000660,CON,CON,CON HOLD
W07000042,CON,LAB,CON GAIN FROM LAB
E14000661,LAB,LAB,LAB HOLD
